e, e_dot, e_int, stamp, 
0.3995764630949683, 0.0, 0.07991529261899366, 11693890000000, 
0.3995764630949683, 0.0, 0.07991529261899366, 11693890000000, 
0.3995764630949683, 0.0, 0.07991529261899366, 11693890000000, 
0.4314654440955259, 0.10629660333519197, 0.0820412246856975, 11708170000000, 
0.4360848799573107, 0.12169472287447469, 0.08447511914318699, 11708204000000, 
0.43532304204054917, 0.012858659816744241, 0.08685822440622572, 11708238000000, 
0.43573454448856097, -0.0011677848958324688, 0.08714283109909472, 11708272000000, 
0.43566724316328287, 0.0011473370757790018, 0.08711498864615953, 11708306000000, 
0.4289635099137552, -0.022570115249352558, 0.0866910198377066, 11708340000000, 
0.4301084538451345, -0.018529297727161165, 0.08631594712814483, 11708374000000, 
0.42967963163477396, 0.0023870724033958624, 0.08591677302624424, 11708408000000, 
0.4309175598070025, 0.0026970198728933545, 0.0860470430191274, 11708442000000, 
0.43291203669098177, 0.0107746835206927, 0.08623394854218389, 11708476000000, 
0.43730236868734984, 0.02128269626782438, 0.0867421310123556, 11708510000000, 
0.43854720701537175, 0.01878390108129994, 0.08725077415958023, 11708544000000, 
0.4359275693429412, -0.004582664481362168, 0.08745180966971085, 11708578000000, 
0.4288797369822568, -0.032224900110383224, 0.08689030088937132, 11708612000000, 
0.42269559725316697, -0.04410657363258075, 0.08583352690522433, 11708646000000, 
0.41543204074029383, -0.044825654139876527, 0.0844671583317145, 11708680000000, 
0.4068458012533034, -0.0528326533328786, 0.0829982292831176, 11708714000000, 
0.39972479690016893, -0.05235747946708299, 0.08146684259291774, 11708748000000, 
0.3897757296673072, -0.0569002386199872, 0.07975642185471864, 11708782000000, 
0.3816718211319903, -0.06017658589392886, 0.07807815651329776, 11708816000000, 
0.36972456883199367, -0.0668372027843785, 0.07607814130875275, 11708850000000, 
0.3604340668031436, -0.0707925144294889, 0.07412203045114184, 11708884000000, 
0.35455505996894443, -0.050565029543497474, 0.07231424637360545, 11708918000000, 
0.34589957963097895, -0.04844829057388219, 0.07072591376020447, 11708952000000, 
0.3395100263412245, -0.05015011209239972, 0.06933097772940985, 11708986000000, 
0.33028176756541106, -0.052059373551892975, 0.06771275823584097, 11709020000000, 
0.3201236334827313, -0.06462130952831065, 0.06599436182595779, 11709054000000, 
0.31486237104130543, -0.051397988413685404, 0.06435118480596319, 11709088000000, 
0.3072580282771362, -0.04288535068531699, 0.06281626885341153, 11709122000000, 
0.3004232189842204, -0.04813050685695005, 0.061502907886844135, 11709156000000, 
0.29515715037098955, -0.04033625968715556, 0.06018922650882308, 11709190000000, 
