odom_x, odom_y, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.5934506632708619, 0.554605661720873, -0.06027727099738961, -0.007224388785765506, -0.030138635670023294, 1.3871778042300259e-12, 1.1519774813303692e-06, 1.2041709379839907e-06, -0.6235472599369468, 0.5561969466923826, 11690041000000, 
-0.5934506648870179, 0.5546056641281626, -0.026476098793866573, -0.005395166742037051, -0.027941063053648466, -4.323464539048383e-11, -4.653928074104625e-05, 9.289925564395792e-07, -0.6228159359566542, 0.5561582779123747, 11690046000000, 
-0.593450676813746, 0.5546056671663038, -0.06541625502661107, 0.006325102757567971, -0.05100260370554309, -1.5124753632062473e-11, -8.637159354744956e-05, 1.7511259212501917e-07, -0.6256947022121423, 0.5563104841266919, 11690051000000, 
-0.5934506999387629, 0.5546056612746609, -0.05664232257892133, -0.015281096574009877, -0.054485366921994245, -2.8470772578273526e-10, -0.00023151211160944268, 1.2297746489524174e-06, -0.625861115872931, 0.5563192769689407, 11690061000000, 
-0.5934507311234618, 0.5546056634938805, -0.03642614496190859, 0.023784132225267467, -0.043303631069409806, 3.1040966058455843e-09, -0.001348239639838527, -2.3023329934264126e-06, -0.6257004297250833, 0.5563105030740986, 11690127000000, 
-0.5934507370218318, 0.5546056711391106, -0.05263158393496723, 0.0014300733325284447, -0.04904454043465484, 3.9092631090104205e-09, -0.0015114866540231566, -2.5863695842798547e-06, -0.6257400984974512, 0.5563125786970515, 11690184000000, 
-0.5934507400365419, 0.5546056687874814, -0.06369226820507526, 0.006588192184684809, -0.05807899405378928, 9.151352346670108e-09, -0.0014493315511560577, -6.314188316241747e-06, -0.6257657476704899, 0.5563139039043274, 11690227000000, 
-0.5934507395650513, 0.5546056651449136, -0.061598016413839, -0.01249998076519566, -0.060230939095226886, -1.624094661163301e-08, -0.0016782895779136327, 9.677082444748874e-06, -0.6257767431772262, 0.5563144566268812, 11690277000000, 
-0.593450712185038, 0.5546056720662651, -0.07833006756603039, -0.03229294841911047, -0.07139650242455038, -6.275340520031153e-08, -0.0016882532676620464, 3.7170610833299135e-05, -0.6257857551607183, 0.5563149304295288, 11690319000000, 
-0.5934507016719562, 0.5546056646025135, -0.07756841095611959, -0.012490822850573683, -0.07518896565869711, -5.201662347656496e-08, -0.0018441015110166408, 2.82070282822384e-05, -0.625794059470833, 0.5563153242279395, 11690362000000, 
-0.5934506964158475, 0.554605667415799, -0.041578086650875805, -0.018266954989153487, -0.05438578899631668, -6.794457888152219e-08, -0.0020916850108117506, 3.2483179126074034e-05, -0.6257980673985701, 0.5563155080507635, 11690417000000, 
-0.5934506961384699, 0.5546056705608107, -0.08190951733128476, -0.018603734037934114, -0.07136913011578172, -7.185734776444021e-08, -0.001957285641948229, 3.6712754758122765e-05, -0.6257931620120668, 0.556315279789609, 11690466000000, 
-0.5934507049157862, 0.5546056733819242, -0.09788383908567277, -0.02633836055014937, -0.08771135156682403, -1.224849036776034e-07, -0.002631501447998578, 4.654563415526936e-05, -0.6258217263670606, 0.5563166277842059, 11690529000000, 
-0.5934507239070184, 0.5546056766117627, -0.07259935525689741, -0.01677475422948281, -0.07833696866973604, -1.1580282467392099e-07, -0.002530364006288743, 4.576528293404225e-05, -0.6258263031753809, 0.556316843597249, 11690577000000, 
-0.5934507486243271, 0.5546056787191965, -0.07742223879403909, 0.001050568300505804, -0.07773966745076477, -3.6992937315193317e-08, -0.002395435551736672, 1.544309438355531e-05, -0.6258233515546555, 0.5563167043654188, 11690625000000, 
-0.5934507436896492, 0.5546056760985792, -0.07990177659738097, -0.003435907844818397, -0.0790509990094778, -2.5632320271809508e-08, -0.0021386637121704926, 1.1985203716668346e-05, -0.6258199212837595, 0.5563165427944714, 11690666000000, 
-0.5934507312718164, 0.5546056713340366, -0.07428031154014736, -0.03746143141248211, -0.07606864620010635, -1.310545688797652e-07, -0.002389161694934747, 5.485378790293413e-05, -0.6258252535114526, 0.5563167943118952, 11690719000000, 
-0.5934507256235279, 0.5546056747373855, -0.05576057215254396, 0.003360832771613662, -0.06350011668755635, -3.04592920352169e-08, -0.0017920296995713693, 1.6997091087554173e-05, -0.6258164320391588, 0.5563163785663561, 11690752000000, 
-0.5934507333455946, 0.554605680571575, -0.04926494598070388, -0.020846530535874284, -0.05468244248128268, -5.0743557733787874e-08, -0.0016844610693974049, 3.0124506084275817e-05, -0.6258087832189344, 0.5563160181727075, 11690796000000, 
-0.5934507476784961, 0.5546056836448275, -0.0462205498364875, 0.01743595596470452, -0.049433107253928396, 1.0043770588807562e-08, -0.0015612583913360788, -6.433125128129752e-06, -0.625801011708258, 0.5563156519290876, 11690842000000, 
-0.5934507616292418, 0.5546056805211373, -0.0625348473199994, 0.019636256526490085, -0.057512096292368184, 3.126159843783906e-08, -0.001484718746297266, -2.1055569289336606e-05, -0.6257981532038766, 0.5563155172321285, 11690886000000, 
-0.5934507465817029, 0.5546056829067495, -0.058942274661978294, 0.03929449158669364, -0.05837394480122393, 7.11138656166474e-08, -0.0016479805578438179, -4.315212656980082e-05, -0.6258032604678091, 0.5563157578810447, 11690935000000, 
-0.5934507340214081, 0.5546056769397395, -0.02740436414712296, 0.02215114372707601, -0.039223288538159734, 4.593994853157148e-08, -0.0011910374310281032, -3.857137259902581e-05, -0.6257964427652857, 0.5563154365503812, 11690965000000, 
-0.5934507280866492, 0.5546056802719851, -0.0732512946902636, -0.005366083312640754, -0.06023550171319803, 1.3446001344800691e-08, -0.0013715449765777745, -9.803543867989389e-06, -0.62579837208413, 0.5563155274574625, 11691015000000, 
-0.5934507270990466, 0.5546056832899088, -0.03755408850575968, 0.01086222628352199, -0.0462076246705425, 1.398554803899129e-08, -0.0011331764414011574, -1.2341897985187858e-05, -0.6257972128190326, 0.5563154727897395, 11691045000000, 
-0.5934507351864599, 0.5546056859940084, -0.07190836020240272, -0.023066722668812826, -0.06207421511729938, -1.650744830289039e-08, -0.001380921584198788, 1.195393604660617e-05, -0.6258029251826805, 0.5563157420065076, 11691092000000, 
-0.5934507535242598, 0.5546056891020281, -0.06960399781865287, -0.006307000744191344, -0.0667160370615731, -1.348943547592019e-08, -0.0012864201602961864, 1.048602617733725e-05, -0.6258059776023247, 0.5563158858590751, 11691123000000, 
-0.5934507796449858, 0.5546056832358799, -0.05885779157711029, 0.022574711224384272, -0.0618567028597025, 1.0099553224299035e-08, -0.000732824537057703, -1.378167994326286e-05, -0.6258073100115842, 0.5563159486480493, 11691133000000, 
-0.5934507768891676, 0.5546056909914221, -0.04990857102118401, -0.002403779717962564, -0.05445738498009487, 5.920253695667422e-09, -0.001313123047202013, -4.508529271710087e-06, -0.625820850567615, 0.5563165868167973, 11691179000000, 
-0.5934507712885719, 0.5546056882919422, -0.02930992847455188, -0.0007792475530289458, -0.038902929467137956, 2.1187908168364123e-10, -0.0011871043126530883, -1.7848396255094678e-07, -0.6258153514162793, 0.5563163276353411, 11691217000000, 
-0.5934507643166794, 0.5546056841583226, -0.02382331329603095, 0.014893030415489034, -0.02957691563339466, 8.508437917020042e-09, -0.0008085951524639157, -1.0522494342309007e-05, -0.625808082021616, 0.5563159850177682, 11691244000000, 
-0.5934507578405442, 0.5546056870341962, -0.040655599401767925, 0.00025867276855014805, -0.03641499671530984, 2.8275995842201765e-09, -0.0008155098845842878, -3.4672781258335897e-06, -0.6258052807971136, 0.5563158529938711, 11691285000000, 
-0.5934507564609082, 0.5546056900101843, -0.052685288749994945, -0.0031572411313613045, -0.04646336000289711, -8.128644250751631e-10, -0.0007950300357856383, 1.0224323465614744e-06, -0.6258067756795097, 0.5563159234462133, 11691316000000, 
-0.5934507641262489, 0.5546056926450292, -0.08878143667112065, -0.005067209093718964, -0.0726053813334101, -4.014742039072931e-09, -0.0011413047400608892, 3.5176775300685625e-06, -0.6258178931433852, 0.5563164474209471, 11691354000000, 
-0.5934507820635191, 0.5546056956920299, -0.08944100841825656, -0.00030583035491867127, -0.08299999970480992, -2.5014766429021324e-09, -0.0012623440383719195, 1.981612434379107e-06, -0.6258255198423167, 0.556316806873951, 11691382000000, 
-0.5934507971003445, 0.5546056917903553, -0.04658587422519926, 0.010033708088803482, -0.06047929635956534, 1.099743786840392e-08, -0.001542283774234681, -7.130618925081488e-06, -0.6258324128703812, 0.5563171317448683, 11691420000000, 
-0.5934507918035544, 0.5546056895318686, -0.028215227318198855, 0.0029463992893319834, -0.0405331675524854, 5.242761013227128e-09, -0.0009743314736552875, -5.380880280463961e-06, -0.625826103106599, 0.5563168343593885, 11691440000000, 
-0.5934507805778807, 0.5546056949049166, -0.05608299231720271, 0.003486958105623494, -0.050125830336545774, 3.733045267453954e-09, -0.0012862230696021185, -2.9023311396589536e-06, -0.6258290167136659, 0.5563169716798171, 11691494000000, 
-0.5934507673041937, 0.5546056888948159, -0.02776365025593374, 0.021784008958218942, -0.036290289857997364, 2.208420774628184e-08, -0.001226635533347422, -1.800388717422463e-05, -0.6258262811338909, 0.556316842732038, 11691538000000, 
-0.5934507590294843, 0.5546056950080771, -0.07026780800122012, -0.0020883092938684044, -0.057268740436968626, 6.484077247341757e-09, -0.0014021339509788409, -4.624434949895601e-06, -0.6258297385878339, 0.5563170056843756, 11691592000000, 
-0.5934507664248796, 0.5546056976079703, -0.06774948651120523, 0.009841484468949604, -0.06372469023929508, 1.5670698120616537e-08, -0.0016132436819600478, -9.713782422242039e-06, -0.6258417018641806, 0.5563175695114156, 11691639000000, 
-0.5934507840825461, 0.5546057006181446, -0.04506610866100992, -0.017253594530188016, -0.05217960006105982, -1.9143556740340714e-08, -0.0013702878014422398, 1.3970464248599421e-05, -0.625840486092025, 0.5563175122187842, 11691673000000, 
-0.5934508095273165, 0.5546056947413337, -0.04308569417618026, 0.014308620666673103, -0.04655375648745755, 5.97207287847049e-09, -0.0008982255194719554, -6.648745497657787e-06, -0.6258374520839517, 0.5563173692041683, 11691693000000, 
